"Curve","Vcmax","Jmax","Rd","adult"
"10_2_8",65.0009908885893,131.798013336821,0.858615752703178,"1"
"10_6_5",64.0933327167765,97.308391401886,0.985735232782339,"1"
"10_7_4",87.1663509755673,139.17225523848,1.03352664211389,"1"
"1000_1_5",95.6793107302015,166.257419508948,0.701800057709882,"1"
"1000_2_3",93.483106169964,138.2708197666,1.96831660494749,"1"
"1000_5_6",111.020212496577,158.617879843012,0.76545768360302,"1"
"1000_7_2",86.3033743280078,155.252918768322,0.772607225380766,"1"
"15_1_2",89.9836849557254,145.78003879878,1.20874745798813,"1"
"15_3_7",88.2754059317163,136.135276669764,2.42019498213451,"1"
"15_4_6",93.4042331129759,142.430478165678,1.08717403925961,"1"
"15_5_4",87.5200114414189,133.538937767341,1.08127448955666,"1"
"20_3_4",105.678093727478,178.208096648079,1.68906619031969,"0"
"20_4_7",69.8213081701315,109.298614081734,1.44415270979371,"0"
"20_5_5",92.2815213437026,160.239691492673,1.55687795385756,"0"
"20_6_4",95.5260418724301,145.234207439458,1.13897917927041,"0"
"20_7_5",82.4017514176173,131.05099737469,1.06403393421226,"0"
"25_2_4",78.8321999862332,127.357958626588,0.64282516581809,"0"
"25_3_3",74.820048032312,122.484905963742,1.14889959900661,"0"
"25_6_7",126.640700359188,192.835035646764,1.82205611215217,"0"
"25_7_3",55.9272159585715,112.317563907657,0.539211038984155,"0"
"35_3_5",83.6531769323487,139.655890816606,0.479489743300208,"0"
"35_4_4",91.6189781213995,143.065015234978,1.5595682142513,"0"
"35_5_7",75.9317861630104,112.93613819339,0.802762832265848,"0"
"35_7_8",72.417878831039,109.527697034764,0.823834705087228,"0"
"5_1_8",71.9324201082795,119.992037544434,1.50012724611161,"1"
"5_2_6",71.115903977091,113.318499255758,0.866118808588856,"1"
"5_4_5",56.5633993200465,109.864326836164,1.31439675274291,"1"
"5_6_3",66.5011751890834,98.2891832253292,0.890193491792479,"1"
